Stock_Exchange_Code,back_door_listing,Share_holding ratio_sub_shareholders,PE Ratio,PCF,Enterprise_Multiple,PB_ratio,Dynamic_PE_ratio,WACC,Annual_yield,EPS,Net_cash_flow_from_operating_activities_per_share,Gross_operating_Income_per_share,Capital reserves per share,Retained earnings per share,Net cash flow per share,ROE,Net profit margin on sales,ROA,Annualized ROE,Gross profit margin on sales,Selling expense/Gross revenue,Overheads/Gross revenue(%),Financial expenses/Gross revenue(%),Ratio of profits to cost,R&D expenses/Gross revenue(%),Gearing ratio,Equity Multiplier,Current ratio,Cash ratio,Quick ratio,Times interest earned,Long-term debt to working capital ratio,Net debt/equity value(%),Interest-bearing debt/equity value,Inventory turnover days,Inventory turnover,Accounts receivable turnover ratio,Accounts payable turnover ratio,Current asset turnover ratio,Fixed asset turnover ratio,Total asset turnover ratio,Working capital turnover ratio,Non-current capital turnover,Earning per share growth rate(%),Year-on-year growth rate of total revenue(%),Year-on-year growth rate of operating profit(%),Year-on-year growth rate of total profits(%),Year-on-year growth rate of net cash flow from operating activities(%),Year-on-year growth rate of ROE(Diluted),Year-on-year growth rate of net assets(%),Year-on-year growth of total liabilities(%),Year-on-year growth rate of net cash flow(%),Year-on-year growth of total assets(%),Year-on-year growth of net profit(%),Year-on-year growth of total operating cost(%),Net asset per share growth rate,Total asset growth relative to the beginning of the year,Increase/decrease rate(%),Audit opinion
600398.SH,1,39.95,11.7487,14.4347,8.3422,3.3457,8.5798,10.05,2.424,0.59,0.0455,3.3233,0.327,1.9562,-0.5839,20.0102,17.6581,12.185,26.6802,41.7665,10.1684,6.9061,-0.0221,23.2589,0.276,50.8174,2.0332,1.8017,0.6791,0.9237,0,0.3661,-20.5849,7.5503,298.641,0.9041,18.6009,1.1407,0.7138,3.6611,0.5155,1.6778,2.7775,1.7241,12.6252,-1.7017,-1.0084,47.5961,-6.6574,6.6497,-14.1097,-586.4994,-4.5487,-1.3097,18.9485,3.568,-7.4288,-5.4275,5
600860.SH,0,43.3,-36.2073,-74.5991,-85.865,7.3576,-38.0211,13.4,8.6244,-0.15,0.1108,2.1027,1.6288,-1.7875,0.1543,-14.685,-9.1486,-3.6989,-19.58,9.8454,5.0932,8.5169,1.9061,-8.6009,0.6851,55.8402,2.2645,1.0303,0.1404,0.5857,-3.8772,8.0043,9.2725,11.1532,114.6558,2.3549,4.1199,2.8297,1.1208,1.309,0.5005,29.7919,1.2587,-50,16.2553,-23.5517,-46.7769,-21.6505,-95.5269,-26.0229,11.4265,538.6224,-4.4154,-35.2531,14.7058,-13.7166,-0.293,34.2282,5
000035.SZ,1,16.2,40.7741,-13.1972,49.185,3.4406,34.8533,7.16,-12.1704,0.1685,0.6115,5.3583,3.2879,0.5816,0.8229,5.9297,3.6267,3.8614,7.9063,14.128,0.1562,5.3162,1.9247,3.8377,0.4571,74.4873,3.9196,0.9563,0.2282,0.902,3.9236,0,131.9535,156.3763,9.3348,28.9241,3.9024,3.1457,1.9435,3.0748,0.5113,-8.9677,0.8792,36.6586,855.6674,240.5382,216.5516,376.983,-24.8271,211.8579,507.8775,324.2629,403.1923,176.3917,959.0984,70.0165,380.2278,18.6538,5
600728.SH,1,10.06,39.6799,39.6367,51.8543,4.9184,21.7228,13.45,30.45,0.365,-0.3502,1.4701,0.9876,0.7622,-0.7025,14.0746,24.6536,8.6697,18.7661,12.1422,4.6578,3.0826,0.3722,25.6021,3.6746,42.4381,1.7373,2.0455,0.3006,1.4571,76.6589,0.283,-2.6194,4.356,211.2835,1.2779,1.2348,0.8723,0.4131,81.9999,0.3039,0.8234,2.3823,419.943,-13.3105,500.7424,463.8859,-11.6,260.6564,45.0557,11.7411,-668.2387,28.7581,441.0413,-10.1171,32.9705,11.8447,36.9473,5
600038.SH,0,28.21,47.4351,21.6571,35.0602,3.1865,78.0342,10.57,-0.4668,0.6865,-0.2653,17.8613,7.3152,4.2892,-0.5461,5.1518,3.7866,2.0883,6.8691,11.2917,0.711,5.4114,-0.1715,3.9953,1.1922,66.0938,2.9493,1.3796,0.2179,0.3615,0,0.1294,-13.4047,1.6572,419.6905,0.6433,5.3072,0.9649,0.5017,4.9652,0.4344,1.865,4.899,32.1209,28.6274,28.6072,28.4422,12.1884,22.9773,7.4335,7.7652,14.958,7.5646,33.4905,28.3931,3.5525,1.6776,28.4964,5
000959.SZ,0,64.38,9.0533,-24.05,8.8439,0.7763,17.9394,8.17,-30.2148,0.2337,0.6609,9.5074,3.7991,-0.3828,0.4571,4.7178,3.3057,2.5441,6.2904,10.7226,1.8688,1.2149,3.0848,3.4311,0.2526,72.101,3.5844,0.373,0.1066,0.2685,2.2691,0,281.5906,299.5197,35.8832,7.5244,6.1076,1.6486,2.1861,0.6297,0.3635,-1.1482,0.5975,-42.2535,3.7819,-41.2521,-41.5545,-61.2719,-44.3615,3.7999,2.5239,-49.8171,3.7203,-42.8932,7.0956,6.7751,4.8174,-5.3619,5
600893.SH,0,26.52,47.8747,-111.0687,22.8582,2.0388,3446.5502,9.78,-11.7852,0.18,-2.1555,5.6865,9.2952,2.2115,-1.1106,1.5064,3.5436,1.447,2.0085,18.5938,1.5455,10.3105,2.2863,3.6918,1.1836,41.0289,1.6957,1.2133,0.067,0.5108,2.8353,-0.8368,5.2981,12.1531,462.5645,0.5837,1.1072,0.705,0.3802,0.8263,0.2232,2.9012,1.0469,-37.931,-7.6122,-27.6972,-29.7504,-55.5356,-41.654,8.8866,-1.0861,2.5511,10.4802,-32.4982,-6.0188,7.6113,14.233,0.4151,5
002047.SZ,1,24.48,29.007,-13.6686,23.7085,2.1297,24.7544,6.81,-4.9716,0.21,0.122,3.6504,1.2669,1.4334,-0.3081,6.9879,5.7527,4.9595,9.3172,17.4047,0.4084,1.8691,3.6136,6.4847,3.0151,59.3599,2.4606,1.8012,0.1992,1.7264,2.7556,0.1365,27.6007,41.8109,25.361,10.6463,0.6591,2.0205,0.5176,90.0486,0.498,1.1234,19.1609,-8.6957,-4.1952,-6.4979,-9.0291,127.8106,-11.2095,5.104,41.0185,51.1945,22.9085,-4.7614,-3.0435,5.6159,12.5133,-15.4651,5
002373.SZ,1,16.08,32.5428,-124.288,24.4994,3.3318,43.4298,11.88,23.1348,0.4,-0.2375,3.8302,2.9452,1.8365,-0.4898,7.1745,10.966,4.698,9.566,31.5078,9.9761,4.4883,0.0638,13.1526,8.5223,38.1563,1.617,1.6359,0.3008,1.1892,180.8674,0.0953,-4.0463,1.6698,154.7637,1.7446,1.8537,1.6657,0.6833,12.2917,0.4072,1.6931,1.498,11.1111,26.3321,7.1556,7.1671,-2.8237,8.2907,11.313,22.5084,-256.1655,13.5128,8.4831,27.7147,7.4462,5.5902,62.6969,5
000582.SZ,1,47.42,20.1997,8.1967,9.5763,1.5713,16.4949,11.87,-15.7896,0.441,0.7437,2.056,2.3933,2.2517,-0.217,7.6727,23.3379,6.1533,10.2303,38.8023,0,7.0893,4.1687,31.7971,0,35.96,1.5615,1.0207,0.7125,1.0129,7.4925,34.9886,12.9993,31.9704,3.7362,72.2651,4.3644,3.2264,0.9143,0.3261,0.197,-402.8436,0.3323,21.8232,11.5437,33.6019,34.3377,5.0259,12.0695,28.1403,-14.8882,-231.3077,7.029,40.1541,7.7179,3.3997,-2.34,28.8614,5
002466.SZ,0,35.86,19.7122,-9.1549,14.7589,3.2111,73.1137,11.34,-6.2112,0.12,1.2118,3.325,4.5878,3.5885,-0.1511,1.3743,16.3175,5.0236,1.8324,58.5605,0.8119,5.585,43.4426,17.8073,0.9357,75.2307,4.0373,0.6875,0.3258,0.5264,1.423,0,89.0866,94.5038,121.8133,2.2165,4.0022,1.1977,1.0079,2.2814,0.0813,-3.4746,0.1196,-91.8919,-20.2077,-74.8634,-72.1393,-50.2494,-91.7156,-0.3161,317.4919,90.6068,135.1413,-70.5484,77.2896,0.2755,9.3806,23.2076,5
000813.SZ,1,30.2,25.0722,-20.9215,19.2991,4.1464,45.3203,9.73,22.9944,0.1525,0.6393,0.6265,0.3154,1.846,-0.3031,6.2086,24.0452,6.8262,8.2781,83.0647,43.626,6.4824,0.0226,35.4609,6.4121,4.668,1.049,19.951,2.9927,18.5052,1268.9712,0.004,-4.7387,0.015,372.4045,0.725,0.811,4.0885,0.2849,2.5597,0.2378,0.3128,1.7069,-53.2065,-46.946,-53.1757,-52.2667,534.702,-57.4941,8.9876,-60.7757,-406.3985,0.6241,-53.7485,-42.0267,6.2991,-0.5596,-31.4815,5
000415.SZ,0,30.31,8.6033,-2.1738,9.5657,0.7234,5.0979,7.63,-15.444,0.3367,2.3743,4.2466,2.7686,1.9978,0.6507,5.6115,12.3632,3.7503,7.482,41.2719,0.5397,5.343,25.3996,13.7185,0,79.3934,4.8528,0.9225,0.4383,0.9218,1.5638,0,670.5798,710.0927,0.2593,1041.232,9.6673,23.4657,0.6497,0.1399,0.0944,-24.6645,0.1618,-14.4997,-10.5736,31.1156,30.4473,-7.6194,-21.0677,8.2511,-15.635,3680.9256,-7.9861,26.8375,-10.9553,7.5462,-5.3668,5.5556,5
002171.SZ,0,32.37,18.8628,66.7295,14.5771,1.5984,24.8403,11.72,-4.4388,0.287,-0.2997,8.79,2.1168,1.0133,-0.1296,7.0858,3.1279,5.8174,9.4478,7.7896,0.9692,1.4047,0.2518,3.2825,2.8289,30.6144,1.4412,2.014,0.2839,1.385,14.6229,0.0587,9.7054,19.7273,31.9264,8.457,9.0465,32.5287,2.7015,13.3525,1.5798,5.4642,5.3097,-2.7119,20.2832,16.4166,14.6627,-620.1827,-26.923,56.6628,59.8576,-431.1312,59.839,17.8119,20.7904,12.1337,23.9202,60.0432,5
600565.SH,0,36.36,9.5852,31.412,9.3357,1.2087,17.7234,9.75,-10.9032,0.23,-0.78,2.6165,0.9658,1.1549,-1.0097,6.9212,9.399,1.1601,9.2282,30.5642,9.3071,7.644,1.4209,10.0351,0.5264,82.1987,5.6176,1.271,0.0965,0.3717,8.6749,0.553,52.942,116.2511,2574.2194,0.1049,12.8504,0.8365,0.104,42.0262,0.0941,0.4692,2.7975,43.75,37.2585,26.787,27.2782,-152.3397,41.6559,6.8773,55.862,-280.3742,58.2882,79.6701,46.2009,-2.5256,30.2995,47.8114,5
000670.SZ,0,14.7,-14.2673,-106.4484,-24.6892,13.2664,-28.1288,9.17,-5.9304,-0.0604,-0.0338,0.005,0.3611,-0.5569,-0.0295,-28.4145,-1233.5389,-22.1965,-37.886,-38.5056,26.4327,952.0585,-78.4163,-114.1864,209.407,25.1627,1.3362,0.5355,0.1524,0.4885,0,0,-0.4616,0,234.3412,1.1522,0.3216,0.177,0.0854,0.0338,0.0179,-0.734,0.0374,14.2045,-96.0886,-35.0438,-34.9896,-116.0383,-82.6415,-53.049,-40.7153,-30.2047,-50.7657,14.6806,-63.1236,-24.2696,-21.4153,-33.0189,5
000681.SZ,1,13.41,40.2122,176.2015,32.8548,4.7148,59.1856,12.22,14.3928,0.3066,0.1249,0.8358,2.3032,1.9142,-0.1411,7.1925,36.4224,6.3619,9.5899,64.7661,10.7221,11.4058,2.1167,60.6917,4.6708,26.7836,1.3658,1.1997,0.4785,1.1997,21.6606,1.3486,2.0553,4.8086,0,0,2.9644,1.3967,0.5643,157.7187,0.1388,3.5234,0.2173,-2.3878,-16.4959,-3.7497,-3.8423,-46.4611,-11.9605,10.8594,-22.8176,37.1847,-1.631,-5.5984,-18.629,6.6471,-0.4796,-25.8835,5
600579.SH,0,51.43,82.1342,-28.5286,12.9226,1.4987,-34.3026,13.09,-11.664,-0.1,0.1676,8.2586,5.6692,-0.563,0.4391,-1.6219,-1.2232,-0.0357,-2.1626,23.7766,16.1036,5.3503,2.3054,-1.2224,2.0082,66.3296,2.97,1.3313,0.2157,0.725,-0.0335,2.9004,39.1515,45.0799,152.2379,1.7735,3.4142,3.7094,1.0737,4.7433,0.462,4.4114,1.1403,-147.619,-7.4748,-167.5902,-149.2665,15.194,-110.3973,371.3433,1339.7835,195.6432,751.0342,-149.0069,-2.6752,-2.8748,4.0106,-19.2961,5
002059.SZ,1,35.74,9.1941,4.8716,4.8157,2.2571,-53.6991,10.31,-13.4808,0.0625,0.1451,1.5549,0.124,1.0119,-0.0379,2.9309,3.9813,2.0318,3.9079,17.1873,3.5804,7.2171,0.2567,4.2216,1.3644,43.1454,1.7589,1.6513,0.4949,1.1553,21.4502,0.2776,-12.8903,17.8107,156.4625,1.7257,2.304,1.8566,0.5858,2.905,0.369,1.7904,1.4278,-41.8605,-11.4159,-63.5019,-53.6982,842.4496,-62.4434,54.8902,-22.6863,93.5115,1.1931,-50.9455,-6.6358,-31.4147,-25.8018,-2.4058,5
600685.SH,0,41.66,-9.8814,-9.9543,-19.9565,2.0765,-24.1992,11.78,-25.8492,-0.0542,-3.0433,9.0687,6.7559,-1.5778,-2.8451,-0.7902,-0.1025,0.3931,-1.0536,3.0355,0.3669,4.4939,0.6529,-0.0997,2.9712,68.0554,3.1304,1.1472,0.2003,0.9054,2.1881,2.1134,39.5552,90.3243,116.1201,2.3252,4.7539,1.2105,0.4558,1.0883,0.2752,5.163,1.1639,88.8523,6.3203,21.2009,105.7666,-99.6059,87.2687,-12.4548,11.7933,-13.0325,3.982,98.4365,5.7384,-0.7144,-3.7443,54.2887,5
600965.SH,0,35.51,53.1677,236.6343,30.0147,4.4267,55.8071,8.66,-6.2184,0.2,0.1461,1.3707,0.3636,0.9981,0.0163,8.048,14.6486,7.4188,10.7306,33.7537,13.6661,4.2686,-0.0044,17.2833,0,21.4442,1.273,3.7394,1.0971,2.5201,0,0.0294,-5.8907,2.0792,263.4121,1.025,6.8274,2.8811,0.5978,2.1326,0.4049,0.8806,1.605,11.1111,1.762,-8.6133,9.5974,-24.4069,6.3947,4.1012,2.9342,-88.653,8.7701,13.7634,3.3529,3.2555,-2.9814,-28.1118,5
000838.SZ,0,61.63,49.542,6.9436,38.3463,2.1126,-50.6166,10.06,-18.822,0.0275,1.1356,0.8485,0.2258,0.4635,-0.3896,1.6066,-0.1536,0.1981,2.1421,25.775,12.4227,11.0132,1.2018,-0.1532,0.1022,84.4759,6.4416,1.4596,0.0936,0.3142,2.5751,0.5567,48.6094,91.2638,4354.0509,0.062,8.1385,0.6068,0.0663,6.3259,0.064,0.2154,6.7835,29.717,9.4664,-87.889,77.6993,119.0977,21.7494,6.5647,52.0434,-186.3259,49.5165,-108.7118,10.1021,-0.1771,33.8201,10.0947,5
000892.SZ,1,10.87,13.0756,11.7654,10.7455,1.255,98.1265,13.65,-32.2032,0.0058,-0.0895,0.1401,1.1542,1.3334,-0.4287,0.1653,4.116,0.915,0.2203,88.6081,41.3901,32.4765,11.5452,4.2053,0,19.5001,1.2422,4.9833,0.0837,3.1891,2.6571,0.003,-9.2719,8.9547,23760.2035,0.0114,0.0688,0.0682,0.0311,4.0734,0.0298,0.0415,2.5352,-96.7045,-73.9441,-87.7425,-89.7514,86.173,-96.8687,4.8333,-46.0897,-87.3127,-11.4762,-96.6996,-59.2485,1.2997,-12.9392,5.2521,3
600381.SH,1,46.53,114.8303,17.8594,31.0563,1.5886,120.433,14.19,-29.448,-0.048,-0.385,0.2869,0.4043,2.4246,0.2211,-1.1999,-16.8628,-1.4842,-1.5998,25.106,32.0287,23.5834,-5.0764,-13.3479,1.9037,1.5232,1.0155,54.7203,8.3842,39.4313,0,0.0062,-14.1509,0.0499,918.5032,0.294,0.8721,13.7226,0.1066,1.2763,0.0698,0.1086,0.2416,-146.1538,-33.6321,-146.8452,-137.4263,-104.7451,-144.3707,-0.9092,-67.1869,-63.3106,-4.0541,-143.8178,-17.7259,-0.8984,-1.834,-6.0976,5
600733.SH,0,29.57,82.7632,-38.8811,56.4194,2.1056,253.5015,7.39,-13.1124,-0.0775,-1.7773,5.0044,3.9878,-0.1158,0.4595,-1.6207,-1.5854,-0.0077,-2.1609,5.0356,6.0875,2.8878,1.8176,-1.4956,1.6814,70.7166,3.4149,1.5151,0.2664,1.3423,-0.0123,0.6544,15.3669,27.6135,47.9121,5.6353,0.7162,0.9738,0.4394,3.6358,0.345,1.3387,2.0142,-256.5657,78.6378,-486.9956,-444.7411,-45.2593,-294.1058,4.8636,143.8523,189.0725,75.6117,-319.8241,89.8674,-1.2752,26.9917,-26.6332,5
000809.SZ,0,34.29,58.3696,-51.304,21.0833,0.6956,-19.4677,10.29,-16.2648,-0.062,0.1381,0.0942,0.0388,2.5428,-0.0373,-1.5989,-65.3404,-0.0159,-2.1319,18.2895,0.579,22.2357,72.0702,-36.5971,0,44.8755,1.8141,3.4067,0.0125,0.1386,-0.0163,0.4445,101.7601,104.5143,17239.5569,0.0157,0.9003,0.2913,0.0182,0.3998,0.0135,0.0259,0.1272,-542.8571,-25.2036,-339.526,-340.0092,7.9146,-539.8035,1.1055,-6.3454,60.811,-2.3797,-544.6655,-7.8358,-1.5863,-1.5485,0.8511,5
000150.SZ,0,37.04,46.7194,-22.1196,19.594,2.5158,28.6056,9.29,-21.2556,0.003,-0.0556,1.5853,0.3699,1.2722,0.0063,0.1076,1.1142,1.1501,0.1435,20.8646,3.5349,10.3863,6.7467,1.1122,0,68.8013,3.2053,0.6344,0.0378,0.5886,1.0038,0,38.2008,44.0137,43.0366,6.2737,1.2619,1.3684,0.4952,1.9681,0.1698,-0.9154,0.3984,-98.7201,-16.8849,-97.3147,-98.0298,-115.6912,-98.7258,-0.8536,-7.7338,102.7625,-6.1849,-93.3862,-2.2199,-28.4051,-1.9485,-54.4636,5
600715.SH,0,20.35,-10.4815,-12.5307,-25.0964,1.2714,614.0904,12.16,-62.1972,0.022,-0.2157,0.7854,2.6327,-0.2001,-0.1439,0.7015,2.3497,1.4101,0.9353,31.7268,4.0194,10.7778,6.2142,2.5455,2.9211,40.4026,1.6779,1.5719,0.3544,1.401,1.591,1.6804,15.142,28.8911,100.7508,2.6799,3.2576,3.5982,0.4408,3.9671,0.1426,0.9894,0.3557,120,-1.5054,60.0039,69.8492,42.5271,96.4054,-9.4435,34.4877,43.5117,4.255,40.9538,-6.2654,0.2591,11.6298,-21.1111,5
600719.SH,0,32.91,104.1435,-117.1892,42.4982,3.2164,8.0831,11.5,-17.9484,-0.057,-0.1229,1.2354,0.2525,0.0702,-0.0675,-3.212,-4.6002,-0.8571,-4.2827,15.2883,0.4446,17.1479,1.4739,-4.404,0,66.4051,2.9766,0.4889,0.0759,0.4242,-2.4188,0,23.0549,31.5884,44.6974,6.0406,11.6537,1.135,0.8387,0.65,0.2404,-0.8651,0.507,32.1429,1.2673,26.4311,26.68,82.9367,33.3605,1.6805,44.9866,-41.897,26.8383,32.2407,-0.5905,-3.4346,1.4043,21.2598,5
600215.SH,0,21.88,24.1761,3.4478,22.2056,1.4247,18.5088,13.54,-12.1692,0.1442,0.0464,0.3469,2.1042,1.9533,0.3062,2.6365,41.567,2.6022,3.5154,27.8094,0.9278,7.8302,-10.2961,55.537,0,10.3275,1.1152,8.0623,3.7351,3.966,0,0.0029,-31.4584,0,2817.0462,0.0958,50.707,0.9224,0.0698,81.8152,0.0564,0.0806,0.5539,-11.0974,-69.3526,20.0168,-12.3052,-89.9218,-13.0424,2.2421,-15.8997,-84.0206,0.014,-11.0927,-77.7048,1.3403,-0.3931,-1.9628,5
600406.SH,0,51.78,21.1235,981.8082,17.4279,3.1508,285.8502,10.25,12.8892,0.47,0,3.7169,2.1461,2.8451,0.065,7.654,13.2953,4.914,10.2054,28.9162,6.0921,2.9083,-0.1591,16.519,5.9198,44.2148,1.7926,1.7404,0.3373,1.4242,0,0.0245,-6.308,2.2061,146.0014,1.8493,0.902,0.8181,0.4193,2.7201,0.3237,0.9532,2.5073,-9.6154,0.1152,-7.7149,-7.4388,99.5549,-14.6963,8.6436,11.6751,117.7425,9.2303,-6.8785,0.7,1.7885,2.776,16.6704,5
000638.SZ,0,37.69,-12.6993,-304.1251,-14.3453,13.763,-222.1042,11.92,-25.2372,-0.0344,-0.0268,0.3019,0.4993,-1.0638,-0.0643,-7.8731,-9.567,-0.4503,-10.4975,30.1158,7.8991,15.9548,9.6829,-9.1938,6.5324,71.3536,3.4908,1.0114,0.237,0.5796,-0.3696,1.7878,-0.28,6.441,910.5841,0.2965,1.1766,5.0748,0.1778,23.1666,0.1258,-31.4962,0.7476,45.0479,42.329,64.8533,64.3775,91.2532,3.0416,-43.3385,-2.8442,-61.9089,-12.2627,61.1896,12.6664,6.876,-1.5339,-10.991,5
